학교구분,학교명,본분교,지역,설립구분,도로명주소,지번주소,위도,경도,학교개교일
대학원,경상국립대학교 토지주택대학원,본교,경남,국립,경상남도 진주시 진주대로 501,경상남도 진주시 가좌동 900,35.15671422,128.0980014,1973-03-10
대학,신한대학교,본교,경기,사립,경기도 동두천시 벌마들로40번길 30,경기도 동두천시 상패동 233-1,37.90386168,127.0378886,2014-03-01
대학원,광주대학교 보건상담정책대학원,본교,광주,사립,광주광역시 남구 효덕로 277,광주광역시 남구 진월동 592-1,35.10590365,126.8961699,2014-03-01
대학원,국립부경대학교 과학기술융합전문대학원,본교,부산,국립,부산광역시 남구 용소로 45,부산광역시 남구 대연동 430-1,35.13116783,129.1048238,2014-03-01
대학원,총신대학교 교회음악대학원,본교,서울,사립,서울특별시 동작구 사당로 143,서울특별시 동작구 사당동 200-1,37.48792901,126.9667631,2014-03-01
대학원,경기대학교 행정사회복지대학원,본교,경기,사립,경기도 수원시 영통구 광교산로 154-42,경기도 수원시 영통구 이의동 산 94-6,37.29801369,127.0331167,1987-11-19
대학원,경기대학교 예술대학원,본교,경기,사립,경기도 수원시 영통구 광교산로 154-42,경기도 수원시 영통구 이의동 산 94-6,37.29801369,127.0331167,2014-11-08
대학원,신한대학교 지식복지대학원,본교,경기,사립,경기도 동두천시 벌마들로40번길 30,경기도 동두천시 상패동 233-1,37.90386168,127.0378886,2014-03-01
대학원,신한대학교 보건대학원,본교,경기,사립,경기도 동두천시 벌마들로40번길 30,경기도 동두천시 상패동 233-1,37.90386168,127.0378886,2014-03-01
대학원,신한대학교 생활문화대학원,본교,경기,사립,경기도 동두천시 벌마들로40번길 30,경기도 동두천시 상패동 233-1,37.90386168,127.0378886,2014-03-01
대학원,영남신학대학교 성서신학대학원,본교,경북,사립,경상북도 경산시 진량읍 봉회1길 26,경상북도 경산시 진량읍 봉회리 117,35.88063594,128.8164972,2013-10-29
대학원,영남신학대학교 상담대학원,본교,경북,사립,경상북도 경산시 진량읍 봉회1길 26,경상북도 경산시 진량읍 봉회리 117,35.88063594,128.8164972,2013-10-29
대학원,경희대학교 법무대학원,본교,서울,사립,서울특별시 동대문구 경희대로 26,서울특별시 동대문구 회기동 1-5,37.59394914,127.054891,1996-03-04
대학,단국대학교,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119,충청남도 천안시 동남구 안서동 522,36.83595249,127.1652134,1978-03-13
대학원,단국대학교 일반대학원,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119,충청남도 천안시 동남구 안서동 522,36.83595249,127.1652134,1958-08-29
대학원,단국대학교 교육대학원,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119,충청남도 천안시 동남구 안서동 522,36.83595249,127.1652134,1980-11-03
대학원,단국대학교 정책경영대학원,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119,충청남도 천안시 동남구 안서동 522,36.83595249,127.1652134,1997-03-01
대학원,단국대학교 스포츠과학대학원,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119,충청남도 천안시 동남구 안서동 522,36.83595249,127.1652134,2000-03-01
대학원,단국대학교 보건복지대학원,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119,충청남도 천안시 동남구 안서동 522,36.83595249,127.1652134,2008-03-01
대학원,한남대학교 사회문화・행정복지대학원,본교,대전,사립,대전광역시 대덕구 한남로 70,대전광역시 대덕구 오정동 133,36.35279952,127.4233094,2014-03-01
대학원,충남대학교 에너지과학기술대학원,본교,대전,국립,대전광역시 유성구 대학로 99,대전광역시 유성구 궁동 220,36.36836824,127.3420015,2010-03-02
대학,경동대학교,제4캠퍼스,경기,사립,경기도 양주시 경동대학로 27,경기도 양주시 고암동 417-8,37.80946863,127.0704323,2014-03-01
대학원,백석대학교 실천신학대학원,본교,서울,사립,서울특별시 서초구 방배로9길 15,서울특별시 서초구 방배동 981-61,37.48046708,126.9972061,2001-07-26
대학,가야대학교(김해),본교,경남,사립,경상남도 김해시 삼계로 208,경상남도 김해시 삼계동 60,35.26981628,128.872321,1993-03-13
대학,가야대학교(고령),제2캠퍼스,경북,사립,경상북도 고령군 대가야읍 대가야로 1103,경상북도 고령군 대가야읍 지산리 산 120,35.71889183,128.2503558,1993-03-13
대학원,계명대학교 융합공학대학원,본교,대구,사립,대구광역시 달서구 달구벌대로 1095,대구광역시 달서구 신당동 1000-2,35.85355435,128.4814938,2008-03-01
대학원,한신대학교 사회혁신경영대학원,본교,서울,사립,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 498-16,37.63501366,127.0129394,2014-03-06
대학원,동아대학교 예술대학원,본교,부산,사립,부산광역시 서구 대신공원로 32,부산광역시 서구 동대신동3가 1-42,35.12099471,129.017549,2001-07-26
