과목,표준점수,남자인원,여자인원,전체인원
수학,95,"2,715","3,136","5,851"
수학,94,"3,657","3,902","7,559"
수학,93,"2,508","3,021","5,529"
수학,92,"2,603","2,972","5,575"
수학,91,"3,022","3,679","6,701"
수학,90,"2,273","2,787","5,060"
수학,89,"2,229","2,745","4,974"
수학,88,"2,364","2,943","5,307"
수학,87,"2,451","3,083","5,534"
수학,86,"2,093","2,715","4,808"
수학,85,"2,262","2,839","5,101"
수학,84,"2,405","2,911","5,316"
수학,83,"2,245","2,876","5,121"
수학,82,"2,219","2,815","5,034"
수학,81,"2,533","3,132","5,665"
수학,80,"2,907","3,502","6,409"
수학,79,"2,896","3,477","6,373"
수학,78,"3,426","4,049","7,475"
수학,77,"3,206","3,805","7,011"
수학,76,"6,037","6,909","12,946"
수학,75,"4,598","4,900","9,498"
수학,74,"3,345","3,884","7,229"
수학,73,"3,515","4,192","7,707"
수학,72,"2,723","3,532","6,255"
수학,71,"2,530","2,844","5,374"
수학,70,"5,183","5,394","10,577"
수학,69,"1,716","1,950","3,666"
수학,68,"1,310","1,572","2,882"
수학,67,"1,024","1,217","2,241"
수학,66,"1,249","1,418","2,667"
수학,65,273,283,556
수학,64,485,491,976
수학,63,89,134,223
수학,62,242,181,423
